# Samples Generated by Stan
# stan_version_major=1
# stan_version_minor=3
# stan_version_patch=0
# init=random
# append_samples=0
# seed=1405435606
# chain_id=2
# chain_id_src=user
# iter=200
# warmup=100
# save_warmup=1
# thin=1
# leapfrog_steps=-1
# max_treedepth=10
# epsilon=-1
# equal_step_sizes=0
# epsilon_pm=0
# delta=0.5
# gamma=0.05
# nondiag_mass=0
# sample_file=./rstan_doc_ex_2.csv
#
lp__,accept_stat__,stepsize__,treedepth__,mu,sigma,z.1.1,z.2.1,z.3.1,z.1.2,z.2.2,z.3.2,alpha
-28.609,0,0.8,-1,0.9504,3.18645,-1.0415,-1.05685,0.314856,0.932816,0.222255,1.28239,0.222439
-28.609,0,3.22312,-1,0.9504,3.18645,-1.0415,-1.05685,0.314856,0.932816,0.222255,1.28239,0.222439
-28.609,0,0.757614,-1,0.9504,3.18645,-1.0415,-1.05685,0.314856,0.932816,0.222255,1.28239,0.222439
-20.009,1,0.146959,4,-0.504158,1.18874,1.82575,0.630511,1.17195,-0.979031,-0.620629,-0.703268,0.0979692
-18.3454,0.0360471,0.459461,1,0.577734,1.06066,1.46329,-0.115215,1.60893,-0.176831,-0.558376,-0.694755,0.140367
-18.9288,0.998279,0.101751,4,-0.237588,1.00513,-0.114157,2.1963,-0.332959,-0.290696,0.720451,0.151089,0.02916
-17.9927,0.000479922,0.415896,2,0.360797,1.12411,-0.228225,1.92965,-0.388954,0.00883118,0.68537,-0.175366,0.0202307
-18.5872,0.977705,0.0836433,5,-0.0491304,0.952623,1.23668,-1.13558,-1.504,0.985656,0.656494,-0.137248,0.0347218
-21.7683,1.60226e-23,0.359178,2,-0.113403,1.53741,1.23107,-1.38622,-1.20206,1.80337,0.811478,0.158301,0.0183553
-21.0337,0.992241,0.0729564,4,-0.00408288,0.768405,-0.347511,-1.62158,-1.57081,-0.000675513,0.517321,-1.25,0.0516111
-21.0337,0.00480436,0.687522,1,-0.00408288,0.768405,-0.347511,-1.62158,-1.57081,-0.000675513,0.517321,-1.25,0.0516111
-21.0337,2.38943e-118,2.79426,0,-0.00408288,0.768405,-0.347511,-1.62158,-1.57081,-0.000675513,0.517321,-1.25,0.0516111
-15.7831,2.72224e-17,0.65851,1,0.216425,1.23407,0.349375,0.0763951,-0.596857,-1.23903,0.54346,-1.31569,0.170801
-17.0644,0.998273,0.127925,4,-0.00302036,1.22823,-1.41238,-1.02881,-0.851278,-0.181535,0.404235,0.365865,0.0360757
-17.1072,0.96389,0.398349,2,0.121621,0.918624,-0.601709,-0.13887,-0.829588,0.308705,0.830419,1.42561,0.0419627
-17.1072,5.82633e-10,1.40316,0,0.121621,0.918624,-0.601709,-0.13887,-0.829588,0.308705,0.830419,1.42561,0.0419627
-15.5827,0.830244,0.290812,3,-0.099653,1.49727,0.46383,0.0706863,-0.46758,-0.752803,0.34207,-0.209626,0.934284
-18.2695,5.67683e-16,0.771352,2,-0.384358,0.997623,0.278885,0.994502,0.238985,-2.01713,-0.0473868,-0.431344,0.725254
-17.0559,0.958819,0.156911,3,0.180936,1.10324,1.28449,1.84639,-0.511089,-1.49431,-0.159411,-0.66073,0.590296
-17.0559,2.70486e-05,0.656091,1,0.180936,1.10324,1.28449,1.84639,-0.511089,-1.49431,-0.159411,-0.66073,0.590296
-17.0559,8.44553e-78,2.15291,0,0.180936,1.10324,1.28449,1.84639,-0.511089,-1.49431,-0.159411,-0.66073,0.590296
-17.0559,0,8.67385,-1,0.180936,1.10324,1.28449,1.84639,-0.511089,-1.49431,-0.159411,-0.66073,0.590296
-17.0559,3.5418e-06,2.03884,1,0.180936,1.10324,1.28449,1.84639,-0.511089,-1.49431,-0.159411,-0.66073,0.590296
-14.5008,1,0.395491,3,-0.08096,1.02908,-0.525916,-1.00526,-0.318131,-0.278628,0.593051,-0.681258,0.445461
