# Samples Generated by Stan
# stan_version_major=2
# stan_version_minor=0
# stan_version_patch=1
# init=random
# seed=202728319
# chain_id=3
# iter=200
# warmup=100
# save_warmup=1
# thin=1
# refresh=20
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.65
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./rstan_doc_ex_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,mu,sigma,z.1.1,z.2.1,z.3.1,z.1.2,z.2.2,z.3.2,alpha
-34.5709,0.125052,0.25,3,2.15269,1.4874,0.451259,-0.471,1.06316,-0.0960553,-0.448226,-0.356328,0.322465
-34.5709,0,3.85023,-1,2.15269,1.4874,0.451259,-0.471,1.06316,-0.0960553,-0.448226,-0.356328,0.322465
-34.5709,6.33701e-25,0.627009,1,2.15269,1.4874,0.451259,-0.471,1.06316,-0.0960553,-0.448226,-0.356328,0.322465
-22.995,0.95828,0.0772782,3,0.813421,2.33557,0.661042,-0.472403,1.35514,-0.0692292,-1.05047,-0.450376,0.436033
-19.6569,0.925726,0.131237,4,0.0611806,0.800501,-2.63701,-0.45218,-0.154355,0.888764,-0.493455,0.309529,0.946134
-17.33,0.075617,0.247291,3,-0.19641,0.96438,-2.19945,-0.367343,0.061684,0.493342,-0.265381,0.809906,0.789859
-16.8316,0.999998,0.0385542,6,-0.180196,1.12001,-1.65878,0.266206,1.29921,-0.468465,-0.393291,-0.402328,0.117364
-15.4637,0.938736,0.104511,4,0.00753039,0.89689,0.698208,-0.771971,-1.00712,-0.0765781,-0.631584,-0.486481,0.253058
-15.6777,0.966373,0.247812,2,0.0419107,1.29751,-0.379925,-0.585582,1.18989,1.16433,-0.519908,0.742458,0.301244
-15.6777,0,0.661073,-1,0.0419107,1.29751,-0.379925,-0.585582,1.18989,1.16433,-0.519908,0.742458,0.301244
-15.6777,5.46076e-166,1.34911,0,0.0419107,1.29751,-0.379925,-0.585582,1.18989,1.16433,-0.519908,0.742458,0.301244
-15.6777,0,4.13801,-1,0.0419107,1.29751,-0.379925,-0.585582,1.18989,1.16433,-0.519908,0.742458,0.301244
-15.6777,1.26197e-14,0.629961,1,0.0419107,1.29751,-0.379925,-0.585582,1.18989,1.16433,-0.519908,0.742458,0.301244
-15.4492,0.988706,0.0747116,6,-0.226853,1.09141,1.13226,-0.509238,0.262625,-0.536389,-0.665892,0.786413,0.318405
-17.7685,0.997522,0.13511,5,-0.193795,1.28209,1.58108,-0.922004,-0.881051,0.31585,0.140006,-1.74983,0.818501
-16.6513,0.98203,0.311671,4,0.197993,0.964614,0.630564,0.676669,0.902458,-0.389505,-0.564183,1.54273,0.0784216
-16.6513,1.28844e-206,0.778154,2,0.197993,0.964614,0.630564,0.676669,0.902458,-0.389505,-0.564183,1.54273,0.0784216
-15.9455,0.999677,0.0981389,5,-0.024971,1.07653,-0.649728,0.283098,-1.93185,-0.457131,0.387959,0.231318,0.149911
-15.1325,0.976553,0.28084,3,0.261558,1.1709,-1.23662,0.173165,-0.915989,-0.425328,0.617984,-0.127756,0.180354
-17.7525,1.08515e-141,0.773001,3,0.210778,1.30655,-1.38932,0.593351,-0.383283,1.55255,0.248963,0.162394,0.0372928
