# Samples Generated by Stan
# stan_version_major=2
# stan_version_minor=0
# stan_version_patch=1
# init=random
# seed=1562551564
# chain_id=4
# iter=200
# warmup=100
# save_warmup=1
# thin=1
# refresh=20
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.65
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./rstan_doc_ex_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_divergent__,mu,sigma,z.1.1,z.2.1,z.3.1,z.1.2,z.2.2,z.3.2,alpha
-30.4937,0.0910551,0.5,0,1,-0.626526,3.29328,0.591511,0.937526,-0.0248058,1.93071,-0.968218,-1.26948,1.1524
-30.4937,0,3.61945,-1,1,-0.626526,3.29328,0.591511,0.937526,-0.0248058,1.93071,-0.968218,-1.26948,1.1524
-30.4937,5.63248e-33,0.578726,0,0,-0.626526,3.29328,0.591511,0.937526,-0.0248058,1.93071,-0.968218,-1.26948,1.1524
-23.284,0.99993,0.0705853,4,0,0.563163,0.893598,0.944159,2.50128,-0.223501,1.93192,-0.985346,-0.970783,1.04931
-24.5382,0.978455,0.134138,4,0,0.924287,1.70472,2.13132,-0.942695,1.26285,-0.512029,1.15112,1.99416,0.500795
-25.4228,0.870664,0.296068,3,0,-0.800603,1.57775,-2.56597,1.20674,-0.777723,1.11748,-1.49639,-1.42184,0.514967
-22.8155,0.333333,0.529149,0,1,-0.190135,1.16117,-2.91363,1.08524,-0.686126,1.09453,-2.42192,-0.958705,0.712669
-18.5959,0.974939,0.188076,3,0,0.0486012,1.17237,0.290076,0.33899,-0.773592,2.75944,-0.234143,-1.16469,1.25119
-18.5959,5.15909e-09,0.50254,1,0,0.0486012,1.17237,0.290076,0.33899,-0.773592,2.75944,-0.234143,-1.16469,1.25119
-19.6734,0.986108,0.0635979,5,0,-0.0896045,1.3954,-0.243937,-0.60532,0.722764,-2.68002,0.309547,1.08903,0.102448
-19.6734,0,1.46245,-1,1,-0.0896045,1.3954,-0.243937,-0.60532,0.722764,-2.68002,0.309547,1.08903,0.102448
-19.6734,0,4.48565,-1,1,-0.0896045,1.3954,-0.243937,-0.60532,0.722764,-2.68002,0.309547,1.08903,0.102448
-19.6734,0.125693,0.682885,1,0,-0.0896045,1.3954,-0.243937,-0.60532,0.722764,-2.68002,0.309547,1.08903,0.102448
-19.9792,0.999764,0.113209,4,0,0.322759,1.35343,0.448969,0.620619,0.684686,2.85993,1.12334,1.02314,0.263229
-17.0257,0.999175,0.216475,3,0,-0.183881,0.916699,-0.44561,-1.31391,-0.324524,1.0843,-0.25577,1.27233,0.486213
-20.1537,0.569538,0.510431,2,0,0.243381,1.53051,0.304811,1.89897,1.04732,-0.507995,0.41755,-1.68727,0.0593777
-20.1925,0.96475,0.364443,2,0,-0.237298,1.23189,-1.5778,2.05546,-0.682583,-0.573729,1.09174,-0.544656,0.0365524
-20.1925,2.31053e-08,0.913094,0,0,-0.237298,1.23189,-1.5778,2.05546,-0.682583,-0.573729,1.09174,-0.544656,0.0365524
-18.6347,0.999298,0.115274,3,0,-0.226748,1.1704,-1.44279,1.25684,-0.924085,-0.193735,1.05,-0.270129,0.028822
-16.6105,0.998061,0.339317,3,0,-0.167716,0.985215,1.15385,-0.959957,0.277244,0.890945,-1.46631,0.272403,0.430623
-14.9451,0.699021,1.01473,1,0,0.0214978,1.37166,0.94159,0.414937,-0.255596,-0.743074,-0.398577,0.0814166,0.289025
-14.9451,0,11.0932,-1,1,0.0214978,1.37166,0.94159,0.414937,-0.255596,-0.743074,-0.398577,0.0814166,0.289025
-14.9451,1.47215e-27,2.46129,0,0,0.0214978,1.37166,0.94159,0.414937,-0.255596,-0.743074,-0.398577,0.0814166,0.289025
-14.7732,0.961878,0.361943,2,0,0.213318,1.20476,0.379252,0.413688,0.0174357,-1.24646,0.863585,0.464878,0.302377
-19.1568,0.742387,0.693545,1,0,-0.0795586,0.878501,1.84185,0.288117,1.11633,-0.937287,1.07214,-1.55632,0.82577
-17.7962,0.779409,0.812853,1,0,-0.0576367,1.29686,0.17001,-0.05591,1.47855,1.9272,-0.708034,1.35918,0.47599
-16.1112,0.952757,1.12854,1,0,-0.220007,0.970558,0.335209,-0.626956,-1.23167,-0.76219,0.735907,0.121533,0.870507
-16.1112,2.32759e-84,2.7923,0,0,-0.220007,0.970558,0.335209,-0.626956,-1.23167,-0.76219,0.735907,0.121533,0.870507
-17.8566,0.914286,0.357599,2,0,-0.0486471,1.01515,-0.639198,-0.472991,1.53198,-1.11943,0.611767,2.12324,0.44674
-19.034,0.8858,0.810637,1,0,-0.287285,1.29384,1.02923,1.06961,-1.99937,1.43867,0.462731,-0.715013,0.817291
-19.034,0.00275208,1.70271,0,0,-0.287285,1.29384,1.02923,1.06961,-1.99937,1.43867,0.462731,-0.715013,0.817291
-15.6066,1,0.220864,3,0,-0.0205087,1.08068,-0.894448,-1.06726,-0.842957,-0.0392677,0.478007,0.476326,0.0844154
-19.4723,0.842668,0.672688,1,0,-0.183476,0.880572,-0.232698,-1.0485,-1.66406,0.728286,1.12102,1.04722,0.0747098
-19.4723,0.113419,1.24556,0,0,-0.183476,0.880572,-0.232698,-1.0485,-1.66406,0.728286,1.12102,1.04722,0.0747098
-15.7369,0.993165,0.236459,3,0,0.192794,1.15302,-0.440503,-1.22014,-0.474883,0.152246,0.0196477,1.62522,0.189995
-15.9149,0.952982,0.701161,2,0,0.298197,1.25153,0.410069,1.24298,0.299274,0.222402,-0.326332,-1.63993,0.40062
-19.5733,0.138926,1.81439,0,0,0.10879,1.35843,-0.232448,-0.226664,3.23854,-0.879521,-0.0202589,0.00979525,0.747215
-16.072,0.994961,0.385809,3,0,0.594431,1.16699,-0.508948,0.0714965,-0.750077,1.02626,0.178018,0.018897,0.219541
-15.3416,0.418179,1.12563,1,0,0.187071,1.10889,-0.626195,-1.41256,-0.487961,-1.22399,-0.0606068,-0.304664,0.253131
-17.1706,0.93816,0.570698,1,0,0.244885,1.28967,-2.04412,-1.07458,-0.336,-0.869267,-0.707273,-0.385858,0.822749
-16.676,0.937315,0.689869,2,0,0.0629735,1.03664,1.2826,1.36903,-0.764916,0.857606,1.44047,0.37259,0.300063
-16.676,0,11.6316,-1,1,0.0629735,1.03664,1.2826,1.36903,-0.764916,0.857606,1.44047,0.37259,0.300063
-16.676,9.65619e-71,2.93432,0,0,0.0629735,1.03664,1.2826,1.36903,-0.764916,0.857606,1.44047,0.37259,0.300063
-18.8212,0.910592,0.464328,2,0,-0.0700825,0.945826,0.851593,1.45723,-0.734077,1.61416,1.74203,0.923322,0.267984
-16.5026,1,0.804523,2,0,-0.0489971,1.10674,1.31512,1.06992,-0.172883,1.0658,0.897707,1.24279,0.813333
-16.5026,1.81987e-11,2.08032,0,0,-0.0489971,1.10674,1.31512,1.06992,-0.172883,1.0658,0.897707,1.24279,0.813333
-17.7894,0.99142,0.275262,3,0,-0.333643,1.14975,0.973567,0.830774,-1.34767,1.10245,0.748623,1.03965,0.851005
-14.4403,0.980339,0.755223,1,0,0.116701,1.19602,0.205019,-0.14714,-0.210693,0.745937,0.690522,-0.769844,0.166368
-14.4403,2.54447e-27,2.08769,0,0,0.116701,1.19602,0.205019,-0.14714,-0.210693,0.745937,0.690522,-0.769844,0.166368
-14.3609,0.999088,0.266507,3,0,0.0423251,1.07184,0.187933,0.847359,0.200761,0.0218419,-0.264993,-0.550913,0.105824
-18.206,0.745369,0.800148,1,0,-0.327037,1.10495,0.56793,0.556538,0.808396,1.405,0.38906,0.88323,0.0391095
-16.4787,1,1.08407,1,0,-0.0221989,1.30308,0.209428,-1.19866,-0.749177,-0.0945222,-0.288405,0.0383817,0.03282
-16.4787,0,3.28219,-1,1,-0.0221989,1.30308,0.209428,-1.19866,-0.749177,-0.0945222,-0.288405,0.0383817,0.03282
-14.512,0.98692,0.429074,3,0,-0.00702689,1.22906,0.972901,-0.0399741,-0.890751,-0.727979,0.0365982,0.212744,0.378424
-14.512,0.539,1.24565,0,0,-0.00702689,1.22906,0.972901,-0.0399741,-0.890751,-0.727979,0.0365982,0.212744,0.378424
-15.6852,0.652548,0.892728,2,0,0.31899,1.03491,-0.74983,-1.00379,-0.475059,1.07342,1.19623,-0.218143,0.519554
-16.3993,0.854661,0.91259,1,0,0.139842,0.938252,-1.4261,-0.894909,0.936942,0.204904,1.42065,-0.131758,0.659025
-16.3993,0.0353714,1.73077,1,0,0.139842,0.938252,-1.4261,-0.894909,0.936942,0.204904,1.42065,-0.131758,0.659025
-15.3653,0.987173,0.271631,3,0,0.110226,1.00099,-0.565604,-0.927347,-1.20018,1.06654,0.189225,0.622646,0.8308
-15.1821,0.878674,0.768157,2,0,0.197598,0.948421,-0.0987129,0.188728,-0.594341,0.096937,-0.0433068,1.70164,0.359309
-15.1821,0.000395238,1.5466,0,0,0.197598,0.948421,-0.0987129,0.188728,-0.594341,0.096937,-0.0433068,1.70164,0.359309
-15.7302,0.996104,0.229466,3,0,-0.00588618,1.31019,-0.58943,-0.711266,-0.187944,-0.09076,-0.40083,-1.73512,0.702904
-17.1385,0.91792,0.651404,2,0,0.63186,1.15689,0.177036,0.062824,0.0195551,0.249778,1.29556,1.17603,0.172924
-17.7913,1,1.448,1,0,0.415101,1.22241,-0.253373,-0.0189965,-0.660524,-0.955695,2.09122,0.895577,1.27912
-17.7913,0,4.02338,-1,1,0.415101,1.22241,-0.253373,-0.0189965,-0.660524,-0.955695,2.09122,0.895577,1.27912
-16.4611,0.970569,0.631022,2,0,-0.223283,1.22406,0.169512,0.235979,0.485051,0.698098,0.978077,-1.46105,0.133778
-16.4611,0.031069,1.59692,0,0,-0.223283,1.22406,0.169512,0.235979,0.485051,0.698098,0.978077,-1.46105,0.133778
-16.0348,0.984201,0.284249,3,0,0.461423,1.16615,-0.0883077,0.2137,-1.73192,0.39196,-0.260608,0.0357497,1.06804
-14.9783,0.947925,0.740661,2,0,-0.0931372,1.12601,0.00361449,-0.100872,0.995351,-0.719891,0.853576,0.171837,0.142096
-16.1932,0.467334,1.7182,1,0,0.295271,1.13328,-0.0112682,0.852095,-0.89755,0.719216,-1.04418,-0.309308,1.76853
-16.1932,0.639828,1.05402,1,0,0.295271,1.13328,-0.0112682,0.852095,-0.89755,0.719216,-1.04418,-0.309308,1.76853
-16.1932,0.518291,1.04134,1,0,0.295271,1.13328,-0.0112682,0.852095,-0.89755,0.719216,-1.04418,-0.309308,1.76853
-15.1144,0.755815,0.741708,2,0,0.0849309,1.09601,0.489105,-1.26332,-0.308903,0.0223019,0.412597,0.958204,0.127145
-16.4172,0.881677,1.00202,1,0,0.162515,1.16067,0.2068,-0.138012,-0.174005,0.0385165,-1.39872,-1.37884,1.82796
-16.4172,6.12598e-08,1.88053,0,0,0.162515,1.16067,0.2068,-0.138012,-0.174005,0.0385165,-1.39872,-1.37884,1.82796
-16.4851,0.980755,0.343968,3,0,-0.0195972,1.18482,0.211772,0.350903,-1.33729,0.873369,-0.047385,0.990497,0.0489812
-15.6108,1,0.83461,1,0,-0.0102392,1.18793,-1.07764,0.393778,0.215592,0.794267,0.754734,-0.215198,0.070402
-15.6108,0.10486,2.09924,0,0,-0.0102392,1.18793,-1.07764,0.393778,0.215592,0.794267,0.754734,-0.215198,0.070402
-17.8522,0.955606,0.522323,2,0,0.199752,1.40207,-0.259182,0.673477,0.133707,-1.45214,-0.960804,0.624533,0.0325753
-20.2709,0.439498,1.16083,1,0,0.252113,1.23726,1.23168,1.33158,-0.905017,0.385706,-1.75921,-1.71007,0.0355385
-20.1818,0.91751,0.690731,2,0,0.0751452,0.955499,-0.241491,-0.177516,0.587305,0.516197,1.98195,1.00301,0.00331215
-20.079,0.211496,1.3755,1,0,0.660931,1.55857,0.383996,1.95742,-0.0564605,0.00146999,1.22537,-0.623314,0.0898037
-19.92,0.980161,0.466566,3,0,-0.584307,1.10408,-0.436287,-1.9465,-0.932747,-0.36527,-0.872217,0.643905,0.550728
-19.4053,0.684821,1.077,1,0,0.879852,1.19765,0.640175,-0.00324002,-1.65045,0.544133,0.652527,-0.461187,0.515697
-17.3167,1,1.18892,1,0,0.456702,1.12735,1.1074,0.233514,1.60833,0.498863,0.72228,-1.20892,0.216116
-17.3167,1.28915e-78,2.82717,0,0,0.456702,1.12735,1.1074,0.233514,1.60833,0.498863,0.72228,-1.20892,0.216116
-18.2522,0.956079,0.589226,2,0,-0.235575,1.09331,-0.931362,-0.18336,2.21483,-0.584905,-0.714907,1.203,0.964364
-18.2522,0.148923,1.25152,1,0,-0.235575,1.09331,-0.931362,-0.18336,2.21483,-0.584905,-0.714907,1.203,0.964364
-16.6872,0.993174,0.382488,3,0,0.287338,1.31794,1.06493,0.42616,-1.05407,0.689041,-0.740987,-1.33282,0.214869
-17.6588,0.928343,0.880568,1,0,0.222149,1.2396,1.30913,1.54289,0.58291,0.575195,-0.795315,-1.77603,0.429375
-15.753,1,0.860264,1,0,0.00451915,1.28076,1.23125,0.324942,-1.17651,-0.932036,-0.337874,0.153801,0.222731
-15.753,0,16.2555,-1,1,0.00451915,1.28076,1.23125,0.324942,-1.17651,-0.932036,-0.337874,0.153801,0.222731
-15.753,0,4.24169,-1,1,0.00451915,1.28076,1.23125,0.324942,-1.17651,-0.932036,-0.337874,0.153801,0.222731
-17.1415,0.77615,0.684279,1,0,-0.0602482,0.970292,0.361327,-1.86769,-0.56636,0.0713177,-1.80801,-0.0372457,0.557079
-17.1415,0.522925,0.817268,1,0,-0.0602482,0.970292,0.361327,-1.86769,-0.56636,0.0713177,-1.80801,-0.0372457,0.557079
-16.0898,0.995204,0.505079,2,0,0.073637,0.970523,0.577267,-1.82942,-0.292829,0.179646,-1.25205,-0.544817,0.486447
-16.0898,1.25717e-26,1.3464,0,0,0.073637,0.970523,0.577267,-1.82942,-0.292829,0.179646,-1.25205,-0.544817,0.486447
