# Samples Generated by Stan
# stan_version_major=2
# stan_version_minor=2
# stan_version_patch=0
# init=random
# seed=944846690
# chain_id=1
# iter=200
# warmup=100
# save_warmup=1
# thin=1
# refresh=20
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./rstan_doc_ex_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,mu,sigma,z.1.1,z.2.1,z.3.1,z.1.2,z.2.2,z.3.2,alpha
-26.1555,0.129117,0.5,2,2,1,0.485103,2.83441,0.778948,-1.09189,0.946965,1.19163,0.988433,0.581672,0.621714
-26.1555,0,2.95293,1,1,1,0.485103,2.83441,0.778948,-1.09189,0.946965,1.19163,0.988433,0.581672,0.621714
-19.13,0.4,0.312135,3,5,0,0.385342,1.69436,0.588022,-1.28019,0.940402,0.743372,0.850264,0.529364,1.4182
-14.6249,0.993439,0.0683752,5,31,0,0.0527979,0.916892,0.826766,-0.905021,-0.334696,-0.30258,0.268846,-0.375741,0.62159
-18.6613,0.997386,0.0829005,5,31,0,0.201836,1.36417,-1.97293,-0.474812,-0.938248,1.31792,-1.22293,1.00587,0.267905
-17.9965,0.998047,0.121226,5,31,0,0.187855,1.18886,-0.37747,0.860855,-1.50664,0.301871,0.149586,2.5009,0.342578
-16.2493,0.981353,0.197353,3,7,0,0.0521253,1.23185,0.22355,0.646618,-1.18367,0.280455,0.264542,1.97942,0.416021
-14.783,0.290587,0.325179,4,9,0,0.129753,1.19468,-0.663564,-0.492979,0.13653,-0.974455,-0.849401,0.845179,0.756268
-14.9718,0.994663,0.0634575,6,63,0,0.0907228,1.09035,-0.934635,0.5502,0.529709,0.888693,0.451521,1.06203,0.244844
-15.1479,0.882925,0.114506,5,31,0,0.0722394,1.13707,0.420035,-0.998265,-1.12545,-0.590384,-0.758307,0.3541,1.07403
-14.2552,0.98399,0.147918,5,31,0,0.16727,1.05317,0.274172,-0.670862,0.209,-0.882124,-0.70073,0.564619,0.280983
-14.357,0.520819,0.265762,4,15,0,0.0579204,1.06273,-0.710734,0.696794,0.502415,-0.296711,-0.883311,-0.0899752,0.208446
-14.4094,0.933767,0.111534,5,31,0,0.262703,1.04582,0.319357,-0.277369,0.158188,-0.0493854,0.531575,1.19415,0.890846
-13.9313,0.875155,0.173054,5,31,0,0.13747,1.0491,-0.785626,-0.416081,0.151417,0.151247,-0.416749,-0.795954,0.313988
-16.787,0.654493,0.223679,4,15,0,0.0626605,0.867115,0.572153,-1.1706,-0.620947,0.687137,-0.390447,-1.59323,0.441488
-15.7904,0.990382,0.14596,4,15,0,0.0426196,1.44422,0.200652,-0.464581,-0.489645,0.653075,-0.29799,-1.27071,0.884421
-18.1339,0.858504,0.269996,4,15,0,0.59015,0.990319,0.858777,-0.265676,-0.844757,1.58018,-0.379682,-0.645379,0.936957
-16.9642,0.301369,0.331563,4,11,0,-0.199753,1.13853,-0.307812,-0.251352,-0.528416,1.92833,0.107409,-0.126275,1.68735
-17.4826,0.976561,0.075126,6,63,0,0.165586,0.854183,-0.310754,-0.0388133,-0.57473,1.71431,-0.0632717,0.114436,1.87219
-20.9413,0.791833,0.132845,5,31,0,-0.245601,1.87042,0.297547,0.0581876,0.484912,-1.81876,-0.00922585,-0.143612,0.0347723
-19.3629,0.955908,0.134338,5,31,0,-0.0813552,1.81012,-1.20622,-0.168587,-0.453898,-0.336897,0.968797,0.37244,1.71501
-15.9793,0.133445,0.220817,4,15,0,-0.16902,1.06622,-0.702465,-0.261527,-0.470048,-0.683068,0.769077,0.478427,1.79804
-17.9335,0.997746,0.0323157,7,127,0,0.544582,1.10435,0.698854,-0.711692,-0.762773,0.149679,-0.519542,-0.848899,0.0250348
-19.3207,0.99225,0.0602869,6,63,0,0.580241,1.05083,0.293332,-0.777145,-0.829609,-0.965586,0.615371,-0.136022,2.80537
-16.7696,0.994771,0.109592,5,31,0,0.549941,1.12419,-0.649559,-1.22084,-0.370868,-0.13733,0.927446,-1.12149,0.321218
-17.819,0.998495,0.1987,4,15,0,-0.404605,1.17011,-0.124954,1.81132,0.373238,0.706313,-0.0154151,1.18268,0.897586
-17.819,0.00445415,0.360501,3,7,0,-0.404605,1.17011,-0.124954,1.81132,0.373238,0.706313,-0.0154151,1.18268,0.897586
-19.1855,0.999543,0.0396956,6,63,0,0.382114,1.20915,1.14804,1.04531,1.1557,-0.501761,-0.214651,0.815181,2.94383
-16.1581,0.993236,0.0725067,5,31,0,0.0181023,1.21004,-0.153928,-0.956038,-1.12706,1.01946,0.0432295,-0.988147,0.0988072
-16.9029,0.899804,0.128854,5,31,0,0.189345,0.856014,0.813346,0.42723,0.998517,-0.898511,-0.403296,0.992948,0.128747
-17.2339,0.826801,0.17561,5,31,0,0.0331319,1.68722,0.575049,-0.346408,-1.08772,0.0138915,1.05821,-0.25432,0.421888
-18.5236,0.850846,0.195284,4,15,0,0.145056,1.23573,-1.92923,-0.789129,1.23804,1.61557,0.349056,0.151094,0.0860322
-15.5302,0.982045,0.231286,4,15,0,0.0575566,1.09362,-1.52087,0.0959012,1.17657,0.484925,-0.432518,0.654185,0.221353
-15.5302,0.0284239,0.387848,3,7,0,0.0575566,1.09362,-1.52087,0.0959012,1.17657,0.484925,-0.432518,0.654185,0.221353
-19.5045,0.98113,0.0515062,6,63,0,0.493897,1.39545,-2.40191,0.563493,1.32316,0.891768,-0.252816,0.792255,0.3464
-18.8316,0.990139,0.0864729,5,31,0,0.434843,1.12543,0.471717,1.82934,-0.396483,0.0324197,-1.34424,2.0736,0.647347
-18.0252,0.979452,0.147407,5,31,0,-0.115757,1.01947,1.30325,0.175261,1.06499,0.154297,-0.367251,2.35962,0.23997
-21.4837,0.98098,0.242375,4,15,0,-0.125518,1.10706,-2.41911,1.44758,0.865898,1.1948,0.113786,-0.914138,0.0141335
-21.4926,0.0350146,0.397001,3,7,0,0.526999,1.46019,-1.59584,1.79539,0.359632,1.05445,0.625633,-0.598435,0.0171616
-20.5691,0.999081,0.0578895,6,63,0,-0.0504881,0.892461,-1.6084,1.79121,-0.352933,1.12879,0.250827,-0.466346,0.0126852
-23.1427,0.966154,0.0995732,5,31,0,0.0396879,0.878306,-0.826991,2.6766,1.08183,2.086,0.465644,-0.450201,0.0212929
-16.3844,0.997665,0.15639,5,31,0,0.0279823,0.879309,0.693734,0.65737,-0.500406,-0.22072,0.510029,0.267988,0.0423061
-16.3844,8.25702e-07,0.263902,1,1,0,0.0279823,0.879309,0.693734,0.65737,-0.500406,-0.22072,0.510029,0.267988,0.0423061
-20.185,0.983981,0.0374255,7,127,0,-0.196817,1.67674,0.8363,-0.121109,-0.0129593,0.369364,-2.66456,-0.39859,0.742441
-19.2704,0.99753,0.0612169,6,63,0,0.445046,1.55588,0.62181,1.73433,1.29658,-0.665742,-1.30313,-0.605776,0.357419
-17.2856,0.9924,0.102759,5,31,0,-0.108328,1.63179,-0.736823,-1.1059,-0.323425,1.20737,-0.231134,0.0469877,0.518012
-17.6289,0.935186,0.1691,5,31,0,-0.392181,1.28922,0.468964,-0.578931,0.758599,-0.643135,0.320101,-0.451104,0.0335741
-15.7774,0.93411,0.24079,2,3,0,0.257103,1.12396,0.18548,-0.736733,0.97511,-0.204238,0.145439,-0.342161,0.0348419
-21.2894,0.263065,0.340294,3,7,0,-0.103561,0.914445,1.85619,-0.878645,1.19868,-1.87354,0.466753,-0.85774,0.0237043
-14.7517,0.99867,0.0973767,5,31,0,-0.18862,1.36795,0.159358,-0.0946548,-0.64733,-0.160788,0.262854,0.0598916,0.864979
-15.0359,0.976085,0.160423,3,7,0,0.0660573,0.884803,-0.0327171,-0.33432,-0.80021,-0.372817,0.457272,0.0330728,1.21553
