# This file is semicolon delimited
StanFunction; Arguments; ReturnType; Page
abs;(int x);int;279
abs;(real x);real;288
acosh;(real x);real;293
acos;(real x);real;292
append_col;(matrix x, matrix y);matrix;321
append_col;(matrix x, vector y);matrix;321
append_col;(row_vector x, row_vector y);row_vector;322
append_col;(vector x, matrix y);matrix;322
append_col;(vector x, vector y);matrix;322
append_row;(matrix x, matrix y);matrix;322
append_row;(matrix x, row_vector y);matrix;322
append_row;(row_vector x, matrix y);matrix;322
append_row;(row_vector x, row_vector y);matrix;322
append_row;(vector x, vector y);vector;322
asinh;(real x);real;294
asin;(real x);real;292
atan2;(real x, real y);real;293
atanh;(real x);real;294
atan;(real x);real;293
bernoulli_ccdf_log;(ints y, reals theta);real;331
bernoulli_cdf;(ints y, reals theta);real;331
bernoulli_cdf_log;(ints y, reals theta);real;331
bernoulli_log;(ints y, reals theta);real;331
bernoulli_logit_log;(ints y, reals alpha);real;332
bernoulli_logit;~;real;332
bernoulli;~;real;331
bernoulli_rng;(real theta);int;331
bessel_first_kind;(int v, real x);real;298
bessel_second_kind;(int v, real x);real;298
beta_binomial_ccdf_log;(ints n, ints N, reals alpha, reals beta);real;336
beta_binomial_cdf;(ints n, ints N, reals alpha, reals beta);real;335
beta_binomial_cdf_log;(ints n, ints N, reals alpha, reals beta);real;335
beta_binomial_log;(ints n, ints N, reals alpha, reals beta);real;335
beta_binomial;~;real;335
beta_binomial_rng;(int N, real alpha, real beta);int;336
beta_ccdf_log;(reals theta, reals alpha, reals beta);real;365
beta_cdf_log;(reals theta, reals alpha, reals beta);real;365
beta_cdf;(reals theta, reals alpha, reals beta);real;365
beta_log;(reals theta, reals alpha, reals beta);real;365
beta;~;real;365
beta_rng;(real alpha, real beta);real;366
binary_log_loss;(int y, real y_hat);real;296
binomial_ccdf_log;(ints n, ints N, reals theta);real;334
binomial_cdf;(ints n, ints N, reals theta);real;333
binomial_cdf_log;(ints n, ints N, reals theta);real;334
binomial_coefficient_log;(real x, real y);real;298
binomial_log;(ints n, ints N, reals theta);real;333
binomial_logit_log;(ints n, ints N, reals alpha);real;335
binomial_logit;~;real;334
binomial;~;real;333
binomial_rng;(int N, real theta);int;334
block;(matrix x, int i, int j, int n_rows, int n_cols);matrix;320
categorical_log;(ints y, vector theta);real;337
categorical_logit_log;(ints y, vector beta);real;337
categorical_logit;~;real;337
categorical;~;real;337
categorical_rng;(vector theta);int;337
cauchy_ccdf_log;(reals y, reals mu, reals sigma);real;350
cauchy_cdf_log;(reals y, reals mu, reals sigma);real;350
cauchy_cdf;(reals y, reals mu, reals sigma);real;350
cauchy_log;(reals y, reals mu, reals sigma);real;350
cauchy;~;real;350
cauchy_rng;(real mu, real sigma);real;350
cbrt;(real x);real;290
ceil;(real x);real;289
chi_square_ccdf_log;(reals y, reals nu);real;355
chi_square_cdf_log;(reals y, reals nu);real;355
chi_square_cdf;(reals y, reals nu);real;355
chi_square_log;(reals y, reals nu);real;355
chi_square;~;real;355
chi_square_rng;(real nu);real;355
cholesky_decompose;(matrix A);matrix;325
col;(matrix x, int n);vector;320
cols;(matrix x);int;309
cols;(row_vector x);int;309
cols;(vector x);int;309
columns_dot_product;(matrix x, matrix y);row_vector;314
columns_dot_product;(row_vector x, row_vector y);row_vector;314
columns_dot_product;(vector x, vector y);row_vector;314
columns_dot_self;(matrix x);row_vector;315
columns_dot_self;(row_vector x);row_vector;315
columns_dot_self;(vector x);row_vector;315
cosh;(real x);real;293
cos;(real x);real;292
crossprod;(matrix x);matrix;315
cumulative_sum;(real[] x);real[];314
cumulative_sum;(row_vector rv);row_vector;314
cumulative_sum;(vector v);vector;314
determinant;(matrix A);real;324
diag_matrix;(vector x);matrix;319
diagonal;(matrix x);vector;319
diag_post_multiply;(matrix m, row_vector rv);matrix;317
diag_post_multiply;(matrix m, vector v);matrix;316
diag_pre_multiply;(row_vector rv, matrix m);matrix;316
diag_pre_multiply;(vector v, matrix m);matrix;316
digamma;(real x);real;297
dims;(T x);int[];305
dirichlet_log;(vector theta, vector alpha);real;377
dirichlet;~;real;377
dirichlet_rng;(vector alpha);vector;377
distance;(row_vector x, row_vector y);real;305
distance;(row_vector x, vector y);real;304
distance;(vector x, row_vector y);real;304
distance;(vector x, vector y);real;304
dot_product;(row_vector x, row_vector y);real;314
dot_product;(row_vector x, vector y);real;314
dot_product;(vector x, row_vector y);real;314
dot_product;(vector x, vector y);real;314
dot_self;(row_vector x);real;315
dot_self;(vector x);real;315
double_exponential_ccdf_log;(reals y, reals mu, reals sigma);real;351
double_exponential_cdf_log;(reals y, reals mu, reals sigma);real;351
double_exponential_cdf;(reals y, reals mu, reals sigma);real;351
double_exponential_log;(reals y, reals mu, reals sigma);real;351
double_exponential;~;real;351
double_exponential_rng;(real mu, real sigma);real;351
eigenvalues_sym;(matrix A);vector;325
eigenvectors_sym;(matrix A);matrix;325
e;();real;281
erfc;(real x);real;295
erf;(real x);real;295
exp2;(real x);real;290
expm1;(real x);real;300
exp;(matrix x);matrix;313
exp_mod_normal_ccdf_log;(reals y, reals mu, reals sigma reals lambda);real;347
exp_mod_normal_cdf_log;(reals y, reals mu, < reals sigma reals lambda);real;347
exp_mod_normal_cdf;(reals y, reals mu, reals sigma reals lambda);real;347
exp_mod_normal_log;(reals y, reals mu, reals sigma reals lambda);real;347
exp_mod_normal;~;real;347
exp_mod_normal_rng;(real mu, real sigma, real lambda);real;347
exponential_ccdf_log;(reals y, reals beta);real;358
exponential_cdf_log;(reals y, reals beta);real;358
exponential_cdf;(reals y, reals beta);real;358
exponential_log;(reals y, reals beta);real;357
exponential;~;real;357
exponential_rng;(real beta);real;358
exp;(real x);real;290
exp;(row_vector x);row_vector;313
exp;(vector x);vector;313
fabs;(real x);real;288
falling_factorial;(real x, real n);real;299
fdim;(real x, real y);real;288
floor;(real x);real;289
fma;(real x, real y, real z);real;300
fmax;(real x, real y);real;288
fmin;(real x, real y);real;288
fmod;(real x, real y);real;288
frechet_ccdf_log;(reals y, reals alpha, reals sigma);real;361
frechet_cdf_log;(reals y, reals alpha, reals sigma);real;361
frechet_cdf;(reals y, reals alpha, reals sigma);real;361
frechet_log;(reals y, reals alpha, reals sigma);real;361
frechet;~;real;361
frechet_rng;(real alpha, real sigma);real;361
gamma_ccdf_log;(reals y, reals alpha, reals beta);real;359
gamma_cdf_log;(reals y, reals alpha, reals beta);real;358
gamma_cdf;(reals y, reals alpha, reals beta);real;358
gamma_log;(reals y, reals alpha, reals beta);real;358
gamma_p;(real a, real z);real;297
gamma_q;(real a, real z);real;297
gamma;~;real;358
gamma_rng;(real alpha, real beta);real;359
gaussian_dlm_obs_log;(matrix y, matrix F, matrix G, matrix V matrix W, vector m0, matrix C0);real;376
gaussian_dlm_obs_log;(matrix y, matrix F, matrix G, vector V matrix W, vector m0, matrix C0);real;376
gaussian_dlm_obs;~;real;375
get_lp;();real;282
gumbel_ccdf_log;(reals y, reals mu, reals beta);real;353
gumbel_cdf_log;(reals y, reals mu, reals beta);real;353
gumbel_cdf;(reals y, reals mu, reals beta);real;352
gumbel_log;(reals y, reals mu, reals beta);real;352
gumbel;~;real;352
gumbel_rng;(real mu, real beta);real;353
head;(row_vector rv, int n);row_vector;321
head;(T[] sv, int n);T[];321
head;(vector v, int n);vector;320
hypergeometric_log;(int n, int N, int a, int b);real;336
hypergeometric;~;real;336
hypergeometric_rng;(int N, real a, real b);int;336
hypot;(real x, real y);real;292
if_else;(int cond, real x, real y);real;285
increment_log_prob;(T lp);void;277
int_step;(int x);int;279
int_step;(real x);int;279
inv_chi_square_ccdf_log;(reals y, reals nu);real;356
inv_chi_square_cdf_log;(reals y, reals nu);real;356
inv_chi_square_cdf;(reals y, reals nu);real;356
inv_chi_square_log;(reals y, reals nu);real;356
inv_chi_square;~;real;356
inv_chi_square_rng;(real nu);real;356
inv_cloglog;(real y);real;294
inverse;(matrix A);matrix;324
inverse_spd;(matrix A);matrix;324
inv_gamma_ccdf_log;(reals y, reals alpha, reals beta);real;359
inv_gamma_cdf_log;(reals y, reals alpha, reals beta);real;359
inv_gamma_cdf;(reals y, reals alpha, reals beta);real;359
inv_gamma_log;(reals y, reals alpha, reals beta);real;359
inv_gamma;~;real;359
inv_gamma_rng;(real alpha, real beta);real;359
inv_logit;(real y);real;294
inv;(real x);real;291
inv_sqrt;(real x);real;291
inv_square;(real x);real;291
inv_wishart_log;(matrix W, real nu, matrix Sigma);real;382
inv_wishart;~;real;382
inv_wishart_rng;(real nu, matrix Sigma);matrix;382
is_inf;(real x);int;286
is_nan;(real x);int;286
lbeta;(real alpha, real beta);real;296
lgamma;(real x);real;296
lkj_corr_cholesky_log;(matrix L, real eta);real;380
lkj_corr_cholesky;~;real;380
lkj_corr_cholesky_rng;(int K, real eta);matrix;380
lkj_corr_log;(matrix y, real eta);real;379
lkj_corr;~;real;378
lkj_corr_rng;(int K, real eta);matrix;379
lmgamma;(int n, real x);real;297
log10;();real;281
log10;(real x);real;291
log1m_exp;(real x);real;301
log1m_inv_logit;(real x);real;302
log1m;(real x);real;301
log1p_exp;(real x);real;301
log1p;(real x);real;300
log2;();real;281
log2;(real x);real;291
log_determinant;(matrix A);real;324
log_diff_exp;(real x, real y);real;301
log_falling_factorial;(real x, real n);real;299
log_inv_logit;(real x);real;302
logistic_ccdf_log;(reals y, reals mu, reals sigma);real;352
logistic_cdf_log;(reals y, reals mu, reals sigma);real;352
logistic_cdf;(reals y, reals mu, reals sigma);real;352
logistic_log;(reals y, reals mu, reals sigma);real;352
logistic;~;real;351
logistic_rng;(real mu, real sigma);real;352
logit;(real x);real;294
log;(matrix x);matrix;313
log_mix;(real theta, real lp1, real lp2);real;302
lognormal_ccdf_log;(reals y, reals mu, reals sigma);real;354
lognormal_cdf_log;(reals y, reals mu, reals sigma);real;354
lognormal_cdf;(reals y, reals mu, reals sigma);real;354
lognormal_log;(reals y, reals mu, reals sigma);real;354
lognormal;~;real;354
lognormal_rng;(real mu, real beta);real;354
log;(real x);real;290
log_rising_factorial;(real x, real n);real;300
log;(row_vector x);row_vector;313
log_softmax;(vector x);vector;323
log_sum_exp;(matrix x);real;317
log_sum_exp;(real x[]);real;303
log_sum_exp;(real x, real y);real;301
log_sum_exp;(row_vector x);real;317
log_sum_exp;(vector x);real;317
log;(vector x);vector;313
machine_precision;();real;281
max;(int x[]);int;303
max;(int x, int y);int;280
max;(matrix x);real;317
max;(real x[]);real;303
max;(row_vector x);real;317
max;(vector x);real;317
mdivide_left_tri_low;(matrix A, matrix B);matrix;324
mdivide_left_tri_low;(matrix A, vector B);vector;324
mdivide_right_tri_low;(matrix B, matrix A);matrix;324
mdivide_right_tri_low;(row_vector B, matrix A);row_vector;324
mean;(matrix x);real;318
mean;(real x[]);real;304
mean;(row_vector x);real;318
mean;(vector x);real;318
min;(int x[]);int;303
min;(int x, int y);int;280
min;(matrix x);real;317
min;(real x[]);real;303
min;(row_vector x);real;317
min;(vector x);real;317
modified_bessel_first_kind;(int v, real z);real;298
modified_bessel_second_kind;(int v, real z);real;299
multi_gp_cholesky_log;(matrix y, matrix L, vector w);real;374
multi_gp_cholesky;~;real;374
multi_gp_log;(matrix y, matrix Sigma, vector w);real;373
multi_gp;~;real;373
multinomial_log;(int[] y, vector theta);real;344
multinomial;~;real;344
multinomial_rng;(vector theta, int N);vector;344
multi_normal_cholesky_log;(row_vectors y, row_vectors mu, matrix L);real;372
multi_normal_cholesky_log;(row_vectors y, vectors mu, matrix L);real;372
multi_normal_cholesky_log;(vectors y, row_vectors mu, matrix L);real;372
multi_normal_cholesky_log;(vectors y, vectors mu, matrix L);real;372
multi_normal_cholesky;~;real;372
multi_normal_cholesky_rng;(vector mu, matrix L);vector;372
multi_normal_log;(row_vectors y, row_vectors mu, matrix Sigma);real;371
multi_normal_log;(row_vectors y, vectors mu, matrix Sigma);real;370
multi_normal_log;(vectors y, row_vectors mu, matrix Sigma);real;370
multi_normal_log;(vectors y, vectors mu, matrix Sigma);real;370
multi_normal_prec_log;(row_vectors y, row_vectors mu, matrix Omega);real;371
multi_normal_prec_log;(row_vectors y, vectors mu, matrix Omega);real;371
multi_normal_prec_log;(vectors y, row_vectors mu, matrix Omega);real;371
multi_normal_prec_log;(vectors y, vectors mu, matrix Omega);real;371
multi_normal_prec;~;real;371
multi_normal;~;real;370
multi_normal_rng;(vector mu, matrix Sigma);vector;371
multiply_log;(real x, real y);real;300
multiply_lower_tri_self_transpose;(matrix x);matrix;316
multi_student_t_log;(row_vectors y, real nu, row_vectors mu, matrix Sigma);real;375
multi_student_t_log;(row_vectors y, real nu, vectors mu, matrix Sigma);real;375
multi_student_t_log;(vectors y, real nu, row_vectors mu, matrix Sigma);real;374
multi_student_t_log;(vectors y, real nu, vectors mu, matrix Sigma);real;374
multi_student_t;~;real;374
multi_student_t_rng;(real nu, vector mu, matrix Sigma);vector;375
negative_infinity;();real;281
neg_binomial_2_ccdf_log;(ints n, reals mu, reals phi);real;341
neg_binomial_2_cdf;(ints n, reals mu, reals phi);real;341
neg_binomial_2_cdf_log;(ints n, reals mu, reals phi);real;341
neg_binomial_2_log;(ints y, reals mu, reals phi);real;341
neg_binomial_2_log_log;(ints y, reals eta, reals phi);real;341
neg_binomial_2_log;~;real;340
neg_binomial_2_log_rng;(real eta, real phi);int;341
neg_binomial_2;~;real;340
neg_binomial_2_rng;(real mu, real phi);int;341
neg_binomial_ccdf_log;(ints n, reals alpha, reals beta);real;340
neg_binomial_cdf;(ints n, reals alpha, reals beta);real;339
neg_binomial_cdf_log;(ints n, reals alpha, reals beta);real;339
neg_binomial_log;(ints n, reals alpha, reals beta);real;339
neg_binomial;~;real;339
neg_binomial_rng;(real alpha, real beta);int;340
normal_ccdf_log;(reals y, reals mu, reals sigma);real;346
normal_cdf_log;(reals y, reals mu, reals sigma);real;346
normal_cdf;(reals y, reals mu, reals sigma);real;346
normal_log;(reals y, reals mu, reals sigma);real;346
normal;~;real;346
normal_rng;(real mu, real sigma);real;346
not_a_number;();real;281
num_elements;(matrix x);int;309
num_elements;(row_vector x);int;309
num_elements;(T[] x);int;305
num_elements;(vector x);int;309
operator-;(int x);int;279
operator+;(int x);int;279
operator!;(int x);int;284
operator+;(int x, int y);int;278
operator-;(int x, int y);int;279
operator/;(int x, int y);int;279
operator*;(int x, int y);int;279
operator<;(int x, int y);int;282
operator<=;(int x, int y);int;283
operator==;(int x, int y);int;283
operator>=;(int x, int y);int;283
operator>;(int x, int y);int;283
operator!=;(int x, int y);int;283
operator||;(int x, int y);int;284
operator&&;(int x, int y);int;284
operator\;(matrix A, matrix B);matrix;323
operator\;(matrix A, vector b);vector;323
operator/;(matrix B, matrix A);matrix;323
operator-;(matrix x);matrix;310
operator';(matrix x);matrix;322
operator-;(matrix x, matrix y);matrix;310
operator+;(matrix x, matrix y);matrix;310
operator*;(matrix x, matrix y);matrix;311
operator.*;(matrix x, matrix y);matrix;312
operator./;(matrix x, matrix y);matrix;313
operator*;(matrix x, real y);matrix;311
operator+;(matrix x, real y);matrix;311
operator-;(matrix x, real y);matrix;312
operator/;(matrix x, real y);matrix;312
operator./;(matrix x, real y);matrix;313
operator*;(matrix x, vector y);vector;311
operator!;(real x);int;284
operator*;(real x, matrix y);matrix;310
operator+;(real x, matrix y);matrix;311
operator-;(real x, matrix y);matrix;312
operator./;(real x, matrix y);matrix;313
operator-;(real x);real;287
operator+;(real x);real;287
operator<=;(real x, real y);int;283
operator<;(real x, real y);int;283
operator==;(real x, real y);int;283
operator>=;(real x, real y);int;283
operator>;(real x, real y);int;283
operator!=;(real x, real y);int;283
operator||;(real x, real y);int;284
operator&&;(real x, real y);int;284
operator-;(real x, real y);real;286
operator*;(real x, real y);real;286
operator+;(real x, real y);real;286
operator^ ;(real x, real y);real;287
operator/;(real x, real y);real;287
operator*;(real x, row_vector y);row_vector;310
operator+;(real x, row_vector y);row_vector;311
operator-;(real x, row_vector y);row_vector;312
operator./;(real x, row_vector y);row_vector;313
operator*;(real x, vector y);vector;310
operator+;(real x, vector y);vector;311
operator-;(real x, vector y);vector;312
operator./;(real x, vector y);vector;312
operator/;(row_vector b, matrix A);row_vector;323
operator*;(row_vector x, matrix y);row_vector;311
