# This file is semicolon delimited
StanFunction; Arguments; ReturnType; Page
abs;(int x);int;295
abs;(real x);real;303
acosh;(real x);real;308
acos;(real x);real;307
append_col;(matrix x, matrix y);matrix;337
append_col;(matrix x, vector y);matrix;338
append_col;(row_vector x, row_vector y);row_vector;338
append_col;(vector x, matrix y);matrix;338
append_col;(vector x, vector y);matrix;338
append_row;(matrix x, matrix y);matrix;338
append_row;(matrix x, row_vector y);matrix;338
append_row;(row_vector x, matrix y);matrix;338
append_row;(row_vector x, row_vector y);matrix;338
append_row;(vector x, vector y);vector;338
asinh;(real x);real;309
asin;(real x);real;307
atan2;(real x, real y);real;308
atanh;(real x);real;309
atan;(real x);real;308
bernoulli_ccdf_log;(ints y, reals theta);real;354
bernoulli_cdf;(ints y, reals theta);real;354
bernoulli_cdf_log;(ints y, reals theta);real;354
bernoulli_log;(ints y, reals theta);real;354
bernoulli_logit_log;(ints y, reals alpha);real;355
bernoulli_logit;~;real;355
bernoulli;~;real;354
bernoulli_rng;(real theta);int;354
bessel_first_kind;(int v, real x);real;313
bessel_second_kind;(int v, real x);real;313
beta_binomial_ccdf_log;(ints n, ints N, reals alpha, reals beta);real;359
beta_binomial_cdf;(ints n, ints N, reals alpha, reals beta);real;358
beta_binomial_cdf_log;(ints n, ints N, reals alpha, reals beta);real;358
beta_binomial_log;(ints n, ints N, reals alpha, reals beta);real;358
beta_binomial;~;real;358
beta_binomial_rng;(int N, real alpha, real beta);int;359
beta_ccdf_log;(reals theta, reals alpha, reals beta);real;389
beta_cdf_log;(reals theta, reals alpha, reals beta);real;389
beta_cdf;(reals theta, reals alpha, reals beta);real;389
beta_log;(reals theta, reals alpha, reals beta);real;389
beta;~;real;389
beta_rng;(real alpha, real beta);real;390
binary_log_loss;(int y, real y_hat);real;311
binomial_ccdf_log;(ints n, ints N, reals theta);real;357
binomial_cdf;(ints n, ints N, reals theta);real;356
binomial_cdf_log;(ints n, ints N, reals theta);real;357
